year,sexo,grupo110,ndefun_sinadef,ndefun_inei,diferencia,pct_diferencia,ratio
2022,Hombre,Trastornos cardiovasculares originados en el periodo perinatal,10,29,19,65.51724137931035,0.3448275862068966
2022,Hombre,"Trastornos de la glandula tiroides, endocrinas y otras metabolicas",624,515,-109,-21.16504854368932,1.2116504854368932
2022,Hombre,"Trastornos de la vesícula biliar, vias biliares y del pancreas",361,717,356,49.651324965132495,0.5034867503486751
2022,Hombre,Trastornos del sistema digestivo del feto y del recien nacido,12,68,56,82.35294117647058,0.17647058823529413
2022,Hombre,Trastornos endocrinos y metabolicos del feto y del recien nacido,19,6,-13,-216.66666666666666,3.1666666666666665
2022,Hombre,Trastornos hemorragicos y hematologicos del feto y del recien nacido,37,73,36,49.31506849315068,0.5068493150684932
2022,Hombre,Trastornos mentales y del comportamiento,811,404,-407,-100.74257425742574,2.007425742574257
2022,Hombre,Trastornos respiratorios específicos del periodo perinatal,246,740,494,66.75675675675676,0.3324324324324324
2022,Hombre,Trastornos respiratorios no especificados,55,169,114,67.45562130177515,0.3254437869822485
2022,Hombre,Tuberculosis,789,1737,948,54.57685664939551,0.4542314335060449
2022,Mujer,Accidentes de transporte terrestre,614,607,-7,-1.1532125205930808,1.0115321252059308
2022,Mujer,Accidentes por Ahogamiento y sumersión,16,187,171,91.44385026737967,0.0855614973262032
2022,Mujer,Accidentes por disparo de arma de fuego,1,10,9,90.0,0.1
2022,Mujer,Accidentes por fuerzas de la naturaleza,17,54,37,68.51851851851852,0.3148148148148148
2022,Mujer,Accidentes por fuerzas mecanicas (inanimadas y animadas),5,13,8,61.53846153846154,0.38461538461538464
2022,Mujer,Accidentes por otro tipo de transporte,14,140,126,90.0,0.1
2022,Mujer,Accidentes que obstruyen la respiración,11,1031,1020,98.93307468477207,0.01066925315227934
2022,Mujer,Afecciones de la pleura,150,141,-9,-6.382978723404255,1.0638297872340425
2022,Mujer,"Anemias hemoliticas, aplasticas y otras anemias",723,361,-362,-100.2770083102493,2.0027700831024933
2022,Mujer,Aneurimas,61,90,29,32.22222222222222,0.6777777777777778
2022,Mujer,"Apendicitis, hernia de la cavidad abdominal y obstrucción intestinal",427,738,311,42.140921409214094,0.5785907859078591
2022,Mujer,Arteriosclerosis,72,61,-11,-18.0327868852459,1.180327868852459
2022,Mujer,Asma,112,293,181,61.774744027303754,0.3822525597269625
2022,Mujer,Caídas,15,42,27,64.28571428571429,0.35714285714285715
2022,Mujer,Ciertas enfermedades inmunoprevenibles,2,2,0,0.0,1.0
2022,Mujer,Ciertas enfermedades transmitidas por vectores y rabia,46,91,45,49.45054945054945,0.5054945054945055
2022,Mujer,Cirrosis y ciertas otras enfermedades crónicas del hígado,1651,2392,741,30.978260869565215,0.6902173913043478
2022,Mujer,Covid-19,2084,7776,5692,73.19958847736625,0.26800411522633744
2022,Mujer,Defectos de la coagulación en organos hematopoyeticos y trastornos que afectan al mecanismo de la inmunidad,164,146,-18,-12.32876712328767,1.1232876712328768
2022,Mujer,Deficiencias nutricionales y anemias nutricionales,1050,980,-70,-7.142857142857142,1.0714285714285714
2022,Mujer,Degeneracion de sistemas multiples,60,10,-50,-500.0,6.0
2022,Mujer,Diabetes mellitus,2950,3944,994,25.202839756592294,0.7479716024340771
2022,Mujer,Edema Pulmonar,146,97,-49,-50.51546391752577,1.5051546391752577
2022,Mujer,Edema cerebral,210,266,56,21.052631578947366,0.7894736842105263
2022,Mujer,"Embolia, trombosis arteriales y otros trastornos arteriales o arteriolares",226,141,-85,-60.28368794326241,1.6028368794326242
2022,Mujer,Encefalitis viral,2,21,19,90.47619047619048,0.09523809523809523
2022,Mujer,"Encefalitis, mielitis y encefalomielitis",25,49,24,48.97959183673469,0.5102040816326531
2022,Mujer,"Enfermedad cardiopulmonar, enfermedades de la circulación pulmonar",222,1057,835,78.99716177861873,0.21002838221381268
2022,Mujer,Enfermedad de Alzheimer,228,471,243,51.59235668789809,0.4840764331210191
2022,Mujer,Enfermedad del parkinson,169,246,77,31.300813008130078,0.6869918699186992
2022,Mujer,Enfermedad por el VIH (SIDA),241,296,55,18.58108108108108,0.8141891891891891
2022,Mujer,Enfermedad pulmonar intersticial,2011,3688,1677,45.47180043383948,0.5452819956616052
2022,Mujer,Enfermedad pulmonar obstructiva cronica (EPOC),459,743,284,38.22341857335128,0.6177658142664872
2022,Mujer,Enfermedades cerebrovasculares,2253,4967,2714,54.64062814576203,0.45359371854237973
2022,Mujer,Enfermedades de la piel,491,754,263,34.88063660477454,0.6511936339522546
2022,Mujer,"Enfermedades del esofago, estomago y del duodeno",474,489,15,3.067484662576687,0.9693251533742331
2022,Mujer,"Enfermedades del peritoneo, peritonitis y otros",268,304,36,11.842105263157894,0.881578947368421
2022,Mujer,Enfermedades del pulmon debidas a agentes externos,451,81,-370,-456.7901234567901,5.567901234567901
