year,departamento,grupo110,ndefun_sinadef,ndefun_inei,diferencia,pct_diferencia,ratio
2017,CAJAMARCA,Cirrosis y ciertas otras enfermedades crónicas del hígado,40,283,243,85.86572438162544,0.1413427561837456
2017,CAJAMARCA,Defectos de la coagulación en organos hematopoyeticos y trastornos que afectan al mecanismo de la inmunidad,1,15,14,93.33333333333333,0.06666666666666667
2017,CAJAMARCA,Deficiencias nutricionales y anemias nutricionales,23,116,93,80.17241379310344,0.19827586206896552
2017,CAJAMARCA,Degeneracion de sistemas multiples,4,0,-4,,
2017,CAJAMARCA,Diabetes mellitus,32,251,219,87.25099601593625,0.12749003984063745
2017,CAJAMARCA,Edema Pulmonar,4,27,23,85.18518518518519,0.14814814814814814
2017,CAJAMARCA,Edema cerebral,2,10,8,80.0,0.2
2017,CAJAMARCA,"Embolia, trombosis arteriales y otros trastornos arteriales o arteriolares",6,14,8,57.14285714285714,0.42857142857142855
2017,CAJAMARCA,"Encefalitis, mielitis y encefalomielitis",2,21,19,90.47619047619048,0.09523809523809523
2017,CAJAMARCA,"Enfermedad cardiopulmonar, enfermedades de la circulación pulmonar",10,117,107,91.45299145299145,0.08547008547008547
2017,CAJAMARCA,Enfermedad de Alzheimer,2,1,-1,-100.0,2.0
2017,CAJAMARCA,Enfermedad del parkinson,4,8,4,50.0,0.5
2017,CAJAMARCA,Enfermedad por el VIH (SIDA),3,39,36,92.3076923076923,0.07692307692307693
2017,CAJAMARCA,Enfermedad pulmonar intersticial,14,119,105,88.23529411764706,0.11764705882352941
2017,CAJAMARCA,Enfermedad pulmonar obstructiva cronica (EPOC),18,79,61,77.21518987341773,0.22784810126582278
2017,CAJAMARCA,Enfermedades cerebrovasculares,75,629,554,88.07631160572336,0.1192368839427663
2017,CAJAMARCA,Enfermedades de la piel,8,27,19,70.37037037037037,0.2962962962962963
2017,CAJAMARCA,"Enfermedades del esofago, estomago y del duodeno",18,65,47,72.3076923076923,0.27692307692307694
2017,CAJAMARCA,"Enfermedades del peritoneo, peritonitis y otros",13,39,26,66.66666666666666,0.3333333333333333
2017,CAJAMARCA,Enfermedades del pulmon debidas a agentes externos,12,93,81,87.09677419354838,0.12903225806451613
2017,CAJAMARCA,Enfermedades del sistema urinario,14,49,35,71.42857142857143,0.2857142857142857
2017,CAJAMARCA,Enfermedades hipertensivas,182,311,129,41.47909967845659,0.5852090032154341
2017,CAJAMARCA,Enfermedades infecciosas intestinales,4,30,26,86.66666666666667,0.13333333333333333
2017,CAJAMARCA,Enfermedades isquémicas del corazón,74,534,460,86.14232209737828,0.13857677902621723
2017,CAJAMARCA,"Envenenamientos por, y exposición a sustancias nocivas",1,7,6,85.71428571428571,0.14285714285714285
2017,CAJAMARCA,Epilepsia y estado de mal epileptico,7,22,15,68.18181818181817,0.3181818181818182
2017,CAJAMARCA,"Eventos relacionados al embarazo, parto y puerperio",12,77,65,84.4155844155844,0.15584415584415584
2017,CAJAMARCA,Feto y recién nacido afectados por ciertas afecciones materna,1,2,1,50.0,0.5
2017,CAJAMARCA,Fiebre reumática aguda y enfermedades cardíacas reumáticas cronicas,1,3,2,66.66666666666666,0.3333333333333333
2017,CAJAMARCA,"Hemorragia gastrointestinal (hematemesis, melena y las no especificadas)",13,44,31,70.45454545454545,0.29545454545454547
2017,CAJAMARCA,Hiperplasia de próstata,2,13,11,84.61538461538461,0.15384615384615385
2017,CAJAMARCA,Homicidios (agresiones infligidas por otra persona),7,21,14,66.66666666666666,0.3333333333333333
2017,CAJAMARCA,Incidentes ocurridos al paciente durante la atencion medica y quirurgica,1,13,12,92.3076923076923,0.07692307692307693
2017,CAJAMARCA,Infecciones especificas del periodo perinatal,16,48,32,66.66666666666666,0.3333333333333333
2017,CAJAMARCA,Infecciones respiratorias agudas altas,1,1,0,0.0,1.0
