year,ndefun_sinadef,ndefun_inei,diferencia,pct_diferencia,ratio
2017,99174,178439,79265,44.42134286787081,0.5557865713212918
2018,115055,180698,65643,36.32746350263976,0.6367253649736023
2019,128746,184399,55653,30.18074935330452,0.6981925064669549
2020,229638,263323,33685,12.792274127212586,0.8720772587278741
2021,260268,278771,18503,6.637347500278006,0.93362652499722
2022,160586,200661,40075,19.97149421163056,0.8002850578836944
2023,127332,211732,84400,39.861711975516215,0.6013828802448378
2024,158264,218317,60053,27.507248633867263,0.7249275136613273
