year,grupo110,ndefun_sinadef,ndefun_inei,diferencia,pct_diferencia,ratio
2024,Otras enfermedades del sistema digestivo,38,1205,1167,96.84647302904564,0.03153526970954357
2024,"Otras enfermedades del sistema nervioso, excepto meningitis",527,1159,632,54.5297670405522,0.454702329594478
2024,Otras enfermedades del sistema respiratorio,274,380,106,27.89473684210526,0.7210526315789474
2024,Otras enfermedades infecciosas y parasitarias,510,487,-23,-4.722792607802875,1.0472279260780288
2024,Paro cardiaco,784,757,-27,-3.5667107001321003,1.035667107001321
2024,Resto de las demas enfermedades,26320,1628,-24692,-1516.7076167076168,16.167076167076168
2024,"Retardo del crecimiento fetal, desnutrición fetal, gestación",904,677,-227,-33.53028064992615,1.3353028064992614
2024,"Septicemia, excepto neonatal",3752,6027,2275,37.746806039488966,0.6225319396051103
2024,Suicidios (lesiones autoinfligidas intencionalmente),791,1097,306,27.894257064721966,0.7210574293527803
2024,Sífilis congénita,4,10,6,60.0,0.4
2024,Trastornos cardiovasculares originados en el periodo perinatal,9,39,30,76.92307692307693,0.23076923076923078
2024,"Trastornos de la glandula tiroides, endocrinas y otras metabolicas",1260,709,-551,-77.71509167842031,1.777150916784203
2024,"Trastornos de la vesícula biliar, vias biliares y del pancreas",822,1537,715,46.51919323357189,0.534808067664281
2024,Trastornos del sistema digestivo del feto y del recien nacido,33,140,107,76.42857142857142,0.2357142857142857
2024,Trastornos endocrinos y metabolicos del feto y del recien nacido,46,1,-45,-4500.0,46.0
2024,Trastornos hemorragicos y hematologicos del feto y del recien nacido,52,109,57,52.293577981651374,0.47706422018348627
2024,Trastornos mentales y del comportamiento,1464,403,-1061,-263.27543424317616,3.632754342431762
2024,Trastornos respiratorios específicos del periodo perinatal,277,1373,1096,79.82520029133285,0.20174799708667152
2024,Trastornos respiratorios no especificados,77,363,286,78.78787878787878,0.21212121212121213
2024,Tuberculosis,1340,2948,1608,54.54545454545454,0.45454545454545453
