year,ggrupos,ndefun_sinadef,ndefun_inei,diferencia,pct_diferencia,ratio
2023,Enfermedades Infecciosas y Parasitarias,6384,38291,31907,83.3276749105534,0.16672325089446607
2023,Enfermedades del aparato circulatorio,23362,42336,18974,44.817649281935,0.55182350718065
2023,Enfermedades del sistema digestivo,12594,14919,2325,15.584154433943292,0.844158455660567
2023,Enfermedades del sistema respiratorio,21824,17686,-4138,-23.397037204568587,1.2339703720456858
2023,Enfermedades mentales y del sistema nervioso,3272,4680,1408,30.085470085470085,0.6991452991452991
2023,Enfermedades metabolicas y nutricionales,7765,12790,5025,39.288506645817044,0.6071149335418295
2023,Enfermedades neoplasicas,20532,44988,24456,54.36116297679381,0.45638837023206186
2023,Lesiones y causas externas,7420,19319,11899,61.59221491795641,0.38407785082043583
2024,Afecciones perinatales,1428,3257,1829,56.15597175314707,0.43844028246852934
2024,Demas enfermedades,28546,14011,-14535,-103.73991863535794,2.0373991863535794
2024,Enfermedades Infecciosas y Parasitarias,7654,38339,30685,80.03599467904743,0.19964005320952555
2024,Enfermedades del aparato circulatorio,29647,45598,15951,34.981797447256454,0.6501820255274354
2024,Enfermedades del sistema digestivo,15260,15643,383,2.448379466854184,0.9755162053314581
2024,Enfermedades del sistema respiratorio,25822,17227,-8595,-49.892610437104544,1.4989261043710453
2024,Enfermedades mentales y del sistema nervioso,4307,5969,1662,27.843859943039035,0.7215614005696096
2024,Enfermedades metabolicas y nutricionales,10129,12098,1969,16.275417424367664,0.8372458257563233
2024,Enfermedades neoplasicas,25814,46829,21015,44.87603835230306,0.5512396164769694
2024,Lesiones y causas externas,9657,19346,9689,50.08270443502533,0.49917295564974673
